ID,Lake,Code,sample_date,Chla,TSS,closest_date,closest_WV3_scene,coastalblue,blue,green,yellow,red,rededge,nir,nir2,WV3_1,WV3_2,WV3_3,WV3_4,WV3_5,WV3_6,WV3_7,WV3_8,WV3_9,WV3_10,WV3_11,WV3_12,WV3_13,WV3_14,WV3_15,WV3_16,WV3_17,WV3_18,WV3_19,WV3_20,WV3_21,WV3_22,WV3_23,WV3_24,WV3_25,WV3_26,WV3_27,WV3_28,WV3_29,WV3_30,WV3_31,WV3_32,WV3_33,WV3_34,WV3_35,WV3_36,WV3_37,WV3_38,WV3_39,WV3_40,WV3_41,WV3_42,WV3_43,WV3_44,WV3_45,WV3_46,WV3_47,WV3_48,WV3_49,WV3_50,WV3_51,WV3_52
D-6_2023-08-21,Laguna-embalse de las Yeguas,D-6,8/21/2023,0.755,1.5,8/20/2023,23AUG20104915-M2AS-050167056010_01_P001,,,,,,,,,0.722843812,2.112884885,0.657740841,0.482056415,1.383424723,-0.206461198,-14.35592683,-0.206461198,1.727956963,0.206461198,0.24262278,0.218781814,-1.460267932,-0.02936466,0.910138172,-0.160871337,1.520355645,3.212336462,4.383065588,2.923017187,4.444025679,6.063641295,-0.131174296,0.311299894,0.357509168,0.443662682,0.469584057,0.628464493,-0.349476295,-0.628464493,0.031456392,-0.182620232,-0.006202891,-53.01889795,-0.012405781,1.061555249,1.05467506,0.342112255,-0.490188316,0.206461198,0.473286551,0.890050814,0.225021202,0.040338457,-0.250840777,-0.086278692,1157.196531,7.768361673,7.286305258,2.90323967,-0.891891151,0.947865014
D-6_2023-07-11,Laguna-embalse de las Yeguas,D-6,7/11/2023,2.935,2.1,7/13/2023,23JUL13105923-M2AS-015834812010_01_P009,,,,,,,,,0.731348708,2.280324293,0.791854607,0.516014071,1.367336797,-0.116161988,-8.696781529,-0.116161988,1.65424598,0.116161988,0.217320532,0.19338692,-1.208699727,-0.025317676,0.92880268,-0.155168795,1.262858095,2.879725992,4.41911262,3.117971316,3.937555314,6.042415295,-0.117812757,0.347255261,0.390304183,0.47317657,0.508862442,0.630935886,-0.319248969,-0.630935886,0.02537441,-0.092228376,-0.003145572,-125.8681502,-0.006291144,1.055486356,1.046547122,0.32072136,-0.51432396,0.116161988,0.438534117,0.936547312,0.253964686,0.038697489,-0.135638475,-0.093290574,1382.384839,7.698646969,7.182632898,2.763520278,-0.631922209,0.985313394
D-6_2023-06-27,Laguna-embalse de las Yeguas,D-6,6/27/2023,2.759,0.8889,6/24/2023,23JUN24110224-M2AS-015851214020_01_P008,,,,,,,,,0.786247581,2.016182038,0.913294787,1.026640413,1.271864009,-0.045317226,-2.568571186,-0.045317226,1.53939876,0.045317226,0.240016229,0.206260026,-1.02421961,-0.020259283,0.775877049,-0.119665617,1.094936721,2.207591751,1.963863893,2.56430937,2.807756494,2.497767804,-0.106018413,0.452982305,0.336910049,0.505296108,0.491026391,0.325205181,0.013145111,-0.325205181,0.080973634,-0.011561022,-0.001602352,-284.9857515,-0.003204703,1.073187648,1.077860946,0.389968547,-0.43888148,0.045317226,0.49598696,0.971253322,0.356156242,0.03755901,-0.097465875,-0.096826064,801.5004574,4.84558197,3.818941557,1.855077664,-0.769731541,1.142403822
D-6_2023-10-05,Laguna-embalse de las Yeguas,D-6,10/5/2023,0.896,4,10/4/2023,23OCT04111044-M2AS-050173803010_01_P004,,,,,,,,,0.782816944,1.418139203,0.912827628,0.81883448,1.277437857,-0.045572518,-1.673358544,-0.045572518,1.940943826,0.045572518,0.293480828,0.24138657,-0.986333713,-0.022453584,0.572288463,-0.121820166,1.095497079,1.553567355,1.731899716,1.811584705,1.984585753,2.212394262,-0.1531465,0.643679849,0.172917755,0.382138937,0.399573727,0.267908705,-0.099605282,-0.267908705,0.143402858,0.00652174,-0.002487425,-183.4884902,-0.00497485,1.115162681,1.108887595,0.552002894,-0.288657391,0.045572518,0.705149394,0.963950639,0.503883492,0.023862831,-0.078196301,-0.139796356,336.3636501,4.658184699,3.83935022,2.107450503,-0.827588374,1.286700437
P-8_2021-07-05,Laguna de Río Seco,P-8,7/5/2021,0.4629,1.67,7/16/2021,21JUL16110544-M2AS-21EUSI-1099-01,,,,,,,,,0.896213645,1.382258925,0.750593393,0.070286511,1.115805373,-0.142469753,-7.170110081,-0.142469753,1.418755456,0.142469753,0.216658697,0.181874488,-1.251152759,-0.007418148,0.392351914,-0.054733471,1.332279247,1.84155488,19.66606268,1.542331935,2.054816829,21.9434984,-0.075084598,0.543019386,0.160460696,0.184520714,0.361604124,0.903222978,-0.868658513,-0.903222978,0.214016447,-0.107685544,-0.005779035,-64.94106213,-0.011558071,1.084050105,1.049761602,0.648368861,-0.213320663,0.142469753,0.723453459,0.895306675,0.486661383,0.01771475,-0.023354749,-0.056358003,620.3552667,34.93151907,34.86123256,15.19516989,-0.429056269,1.382875028
P-8_2021-07-27,Laguna de Río Seco,P-8,7/27/2021,0.5617,2.41,7/16/2021,21JUL16110556-M2AS-21EUSI-1099-01,,,,,,,,,0.859521429,1.553652781,0.703669815,0.373126679,1.163438126,-0.173936395,-10.51378882,-0.173936395,1.458637809,0.173936395,0.202870417,0.174685508,-1.352881992,-0.010170799,0.519793669,-0.075545551,1.421121069,2.207928702,4.163874818,1.807578879,2.56878843,4.844410714,-0.090418254,0.452913176,0.216808168,0.316655037,0.385998795,0.612693942,-0.456529853,-0.612693942,0.171069542,-0.145751485,-0.00593463,-59.2850661,-0.011869259,1.070218171,1.055833901,0.553226203,-0.287642454,0.173936395,0.643644457,0.88395831,0.38928858,0.022176102,-0.157131506,-0.063624596,885.799919,8.148978939,7.775852261,3.611977443,-0.808427128,1.248810009
P-8_2021-06-22,Laguna de Río Seco,P-8,6/22/2021,1.2761,1.35,6/20/2021,21JUN20105413-M2AS-21EUSI-0935-01,,,,,,,,,0.827233257,1.47884142,0.718120827,0.828245089,1.208848885,-0.164062485,-8.264594679,-0.164062485,1.645003478,0.164062485,0.236744162,0.202637326,-1.310921923,-0.014668904,0.532643859,-0.094551006,1.392523323,2.059321168,1.785511848,1.787695801,2.489408097,2.158414006,-0.11682574,0.485596912,0.193171461,0.395238076,0.374406125,0.281999105,-0.093945233,-0.281999105,0.161992169,-0.12995565,-0.006693864,-53.6402294,-0.013387728,1.084482842,1.090387281,0.559379286,-0.282561605,0.164062485,0.676205026,0.886285919,0.401701915,0.022742365,-0.325105514,-0.083894997,617.3261349,4.733268111,3.905023022,2.119511174,-1.110524218,1.228935172
P-8_2021-10-19,Laguna de Río Seco,P-8,10/19/2021,2.2425,3.82,10/19/2021,21OCT19110934-M2AS-21EUSI-1628-02,,,,,,,,,0.891428667,1.304637493,0.669548804,0.412973748,1.121794751,-0.197928444,-11.58144799,-0.197928444,1.521596988,0.197928444,0.189113399,0.160580594,-1.422395327,-0.006771434,0.355298306,-0.057401759,1.493543106,1.948532334,3.159129365,1.463535492,2.185853344,3.543894739,-0.08321954,0.513206778,0.13218456,0.264059565,0.327547167,0.519130129,-0.415454465,-0.519130129,0.223212152,-0.169395639,-0.007041085,-47.54585719,-0.014082169,1.073237449,1.061292518,0.683276904,-0.188158642,0.197928444,0.766496445,0.856614675,0.457487234,0.012982119,-0.203820346,-0.055719544,822.4193203,6.947361733,6.534387985,3.37525862,-0.974412977,1.348915901
P-8_2021-09-27,Laguna de Río Seco,P-8,9/27/2021,1.6402,2.93,9/18/2021,21SEP18111904-M2AS-21EUSI-1467-02,,,,,,,,,0.883111894,1.453207364,0.696917859,0.459109766,1.132359338,-0.178607432,-10.88856521,-0.178607432,1.424409619,0.178607432,0.191539401,0.1637045,-1.367114426,-0.007682282,0.444226298,-0.062071779,1.434889331,2.085191741,3.165272168,1.645552928,2.36118634,3.584225496,-0.080434567,0.479572204,0.184740748,0.313261602,0.365104604,0.5198393,-0.370698797,-0.5198393,0.197048468,-0.15077253,-0.006052551,-57.57224309,-0.012105102,1.069715427,1.059365423,0.607698472,-0.244014369,0.178607432,0.688133039,0.87645474,0.423515918,0.018101104,-0.199661939,-0.056056286,899.5021658,6.751345575,6.29223581,3.126963641,-0.915050031,1.306627812
P-8_2022-07-27,Laguna de Río Seco,P-8,7/27/2022,1.4909,10.67,7/29/2022,22JUL29112843-M2AS-22EUSI-1121-WV2,,,,,,,,,1.211972448,1.369081502,0.439607426,0.287411396,0.825101265,-0.389267632,-14.68993763,-0.389267632,0.35122562,0.389267632,0.341757756,0.303609699,-2.149831231,0.020778939,0.09468456,0.095829606,2.27475684,3.114327513,4.763490662,1.129630879,2.56963557,3.93036217,0.154828217,0.321096608,0.155790969,0.247127669,0.287923992,0.652988073,-0.553504968,-0.652988073,0.354259078,-0.351119575,-0.024314748,-9.039933789,-0.048629496,1.12988029,1.114576035,0.885244922,-0.060870116,0.389267632,0.730416705,0.763455764,0.389160242,0.03202799,-0.366379643,0.068063634,302.0787539,9.840234264,9.552822868,4.789332206,-1.621768767,1.60113269
